country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (% gross)"
IND,2007,67.342,65.788,64.365,29.906,70.094,1.46637175001498,6.37288135593229,6.94441825372725,1216736448906.29,1022.73247550475,6.09362577949739,1211641650012.42,2.47824652803557,119995956701.33,72.3407135009766,9.18976101439785,78.64,55.7605110756333,13.1266803741455
IND,2006,66.891,65.412,64.053,29.569,70.431,1.52430796041014,5.79652337561635,8.40093821713963,940259888792.141,802.01374204738,6.42604471464323,932915277249.472,2.68038156022763,92168697919.314,67.9,8.55626282024585,72.55,56.109945405238,11.4863595962524
IND,2005,66.379,64.996,63.719,29.235,70.765,1.60412916927926,4.24634362031927,5.62190326268404,820381595512.902,710.509344850714,6.20601103218459,814482820622.222,2.91058750164482,85041906343.7353,68.8404541015625,8.96984978738541,68.89,57.3787299357895,10.6796398162842
IND,2004,65.831,64.524,63.313,28.903,71.097,1.67281087022876,3.7672517347751,5.72541322746282,709148514804.659,624.105094371897,6.13260616764802,704168745465.35,2.82875224798105,73784792171.6913,64.4,10.3886899827329,65.48,58.3515479395448,10.9332103729248
IND,2003,65.287,64.094,62.981,28.572,71.428,1.72426903226703,3.80585899528852,3.86779808617059,607699285433.872,543.843798893951,6.01652056403348,603192892963.386,2.67777693222748,66094649923.2904,65.4120101928711,11.0578687667013,66.28,61.5037576111926,10.6253700256348
IND,2002,64.729,63.616,62.573,28.244,71.756,1.77676787418134,4.29715203929562,3.71568377652814,514937948870.08,468.84442830518,1.97590798401733,511490036313.605,2.82686683045838,58260569083.2354,62.3,12.7330052345636,60.16,63.0296467549904,10.176420211792
IND,2001,64.131,63.091,62.114,27.918,72.082,1.80844642123748,3.77929312235641,3.21561601745069,485441014538.638,449.911124933268,2.94531935910594,481233322101.917,2.9244355462896,57094901666.0516,62.0054397583008,13.2838533812398,64.8,64.1468574274494,9.69449996948242
IND,2000,63.639,62.669,61.754,27.667,72.333,1.82218400218023,4.0094359104519,3.64497016112819,468394937262.37,442.034778917695,1.96595243736218,463418960201.815,2.94892990622572,55963056448.9827,60.292839050293,12.7907294175608,62.71,63.7389811382142,9.50872039794922
IND,1999,63.111,62.207,61.351,27.453,72.547,1.8493332514954,4.66982038037589,3.06839552078171,458820417337.807,440.961454614021,6.85133340791346,455259488556.383,2.95719564743412,55863632218.8941,60.1,14.4937742856555,62.94,64.0094865427452,
IND,1998,62.595,61.792,61.028,27.24,72.76,1.88755786468172,13.2308389767977,8.0101675232066,421351318896.874,412.509355760123,4.19892115955123,417792780740.133,2.72731141679376,50182477810.1026,56.1821327209473,17.1753730584789,60.09,63.8087339434642,
IND,1997,62.148,61.388,60.665,27.028,72.972,1.91926259528322,7.16425211462723,6.47627126306148,415867567334.185,414.898683481559,2.07187327654599,412313854145.707,2.64773242601716,45864895368.8698,54.5948638916016,17.7632570092899,58.84,63.9118323214179,6.5457501411438
IND,1996,61.733,60.984,60.277,26.817,73.183,1.95143550144522,8.97715233826453,7.57501828808442,392896860670.885,399.577306551262,5.47110810211579,389211875106.82,2.4727682254674,40589741222.1564,53.0035209655762,18.5404552919158,56.91,64.5552181694553,6.26905012130737
IND,1995,61.351,60.596,59.89,26.607,73.393,1.99187122902055,10.2248861637545,9.06270222047438,360281907854.994,373.628233796392,5.45294586360325,356252286873.411,2.57848357246069,37974676909.2342,51.4087753295898,18.6790965761611,55.18,63.7004608786084,5.53655004501343
